影片,年份,导演,评分
神战：权力之眼 Gods of Egypt,2016,亚历克斯·普罗亚斯,7.0
哪一天我们会飞 哪一天我們會飛,2015,黄修平,7.3
圣斗士星矢 聖闘士星矢 Legend of Sanctuary,2014,佐藤敬一,6.4
美人鱼,2016,周星驰,7.3
我不是王毛,2016,赵小溪,7.4
西游记之孙悟空三打白骨精,2016,郑保瑞,5.9
箭士柳白猿,2012,徐皓峰,7.6
"卧虎藏龙：青冥宝剑 Crouching Tiger, Hidden Dragon: Sword of Destiny",2016,袁和平,4.9
诡娃,2016,蒋国权,2.4
你是不是我的爱人,2016,陈雨田,2.9
火影忍者剧场版：博人传 BORUTO -NARUTO THE MOVIE-,2015,山下宏幸,8.5
托马斯和朋友们：多多岛之迷失宝藏 Thomas & Friends: Sodor's Legend of the Lost Treasure,2015,大卫·斯特登,6.5
高跟鞋先生,2016,陆可,5.5
谍影特工 The November Man,2014,罗杰·唐纳森,6.3
